# t x y z qx qy qz qw vx vy vz
0.416667 0.005610 -2.103976 1.224491 -0.086244 0.167422 0.186546 0.964226 1.033211 -5.560774 5.137595
0.420000 0.009081 -2.122526 1.241675 -0.086862 0.168630 0.187891 0.963699 1.049070 -5.569229 5.172996
0.423333 0.012604 -2.141104 1.258978 -0.087476 0.169832 0.189229 0.963170 1.064917 -5.577695 5.208418
0.426667 0.016180 -2.159710 1.276398 -0.088087 0.171028 0.190561 0.962640 1.080751 -5.586174 5.243860
0.430000 0.019809 -2.178345 1.293937 -0.088694 0.172218 0.191886 0.962109 1.096574 -5.594664 5.279319
0.433333 0.023491 -2.197008 1.311594 -0.089298 0.173401 0.193204 0.961577 1.112387 -5.603165 5.314793
0.436667 0.027225 -2.215700 1.329369 -0.089898 0.174577 0.194516 0.961044 1.128189 -5.611676 5.350279
0.440000 0.031012 -2.234419 1.347262 -0.090495 0.175747 0.195820 0.960509 1.143983 -5.620197 5.385773
0.443333 0.034851 -2.253168 1.365274 -0.091087 0.176911 0.197117 0.959974 1.159768 -5.628727 5.421274
0.446667 0.038744 -2.271944 1.383404 -0.091676 0.178067 0.198406 0.959439 1.175547 -5.637266 5.456777
0.450000 0.042688 -2.290749 1.401652 -0.092262 0.179217 0.199689 0.958902 1.191319 -5.645812 5.492280
0.453333 0.046686 -2.309583 1.420019 -0.092843 0.180360 0.200964 0.958365 1.207085 -5.654365 5.527780
0.456667 0.050736 -2.328445 1.438504 -0.093421 0.181496 0.202231 0.957828 1.222847 -5.662925 5.563273
0.460000 0.054838 -2.347336 1.457108 -0.093994 0.182625 0.203491 0.957290 1.238605 -5.671491 5.598758
0.463333 0.058993 -2.366255 1.475829 -0.094564 0.183747 0.204743 0.956753 1.254359 -5.680062 5.634231
0.466667 0.063200 -2.385203 1.494669 -0.095129 0.184861 0.205987 0.956215 1.270111 -5.688638 5.669691
0.470000 0.067460 -2.404179 1.513627 -0.095691 0.185968 0.207223 0.955677 1.285861 -5.697219 5.705136
0.473333 0.071773 -2.423184 1.532703 -0.096248 0.187068 0.208451 0.955139 1.301610 -5.705804 5.740564
